mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.18806989987691244,0.012550303116916345,0.04325461387634277,0.006082039625184346,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.37302456654019817,-0.3835069318313749,-0.3763674478077579,-0.37763298205977697,0.004371969672942382,8,-0.1624801304752402,-0.16115985968175614,-0.17125207505319529,-0.16496402173673055,0.004478875575041812
0.35531099637349445,0.024306541854858962,0.06795366605122884,0.01327790744000176,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.3745845498908962,-0.37955938460015426,-0.37638884687673824,-0.3768442604559296,0.002056339181197761,7,-0.16000971741657805,-0.1582962331887451,-0.1693337339645261,-0.1625465615232831,0.0048499683407993936
0.09980074564615886,0.006984525481198262,0.02579609553019206,0.0010201410918136047,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.40690966065966927,-0.37436542954119556,-0.3557672635084586,-0.37901411790310785,0.02113597130025294,9,-0.25923179039680583,-0.2121301770522777,-0.21548423002076,-0.22894873248994785,0.02145709074675054
0.1904745101928711,0.007676027070023898,0.04577509562174479,0.004953250286510227,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.39255586952604876,-0.36996135835678917,-0.3558443435493647,-0.3727871904774009,0.015120031531373609,3,-0.25303357898666134,-0.21288053611510555,-0.2142642954447424,-0.22672613684883644,0.018610746561182397
0.3507905801137288,0.01723302658169779,0.07494020462036133,0.015682677865887455,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.392704619036908,-0.3703675781958497,-0.3591798288635103,-0.37408400869875597,0.013936445764129515,6,-0.25202064612762887,-0.21248452427234338,-0.21186229150125413,-0.22545582063374212,0.018785885810821655
0.11386752128601074,0.020922939633734077,0.03861093521118164,0.010953562217626476,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4197818692893491,-0.3797638805676175,-0.35433136597423603,-0.3846257052770676,0.026940305624095037,25,-0.30388944742549895,-0.25542716962710293,-0.24957898827410616,-0.269631868442236,0.024341139313656602
0.20098066329956055,0.02866223704375659,0.040129661560058594,0.003142089161831726,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4087039955897279,-0.3793556219170938,-0.35390871143080327,-0.380656109645875,0.022388974113223045,17,-0.2979306516210617,-0.2540542003696232,-0.2481163932578052,-0.26670041508283004,0.02221576233217779
0.35890881220499676,0.009164060254773579,0.05782087643941244,0.003133203513090671,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.40567310212577334,-0.38186479175967125,-0.3558131368392036,-0.38111701024154937,0.02036211216112935,20,-0.29792644109083677,-0.25429704981757456,-0.24602523251364228,-0.2660829078073512,0.022768599713344228
0.09147286415100098,0.007409772178359242,0.025578896204630535,0.0027639675835763457,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.37693797297297277,-0.38962785585585563,-0.3840694469404458,-0.3835450919230914,0.005193874150284444,24,-0.15169527027027213,-0.13384336936937005,-0.13052364650364695,-0.1386874287144297,0.009297243191137429
0.20961316426595053,0.010640852881572552,0.0391392707824707,0.00573447523619073,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.37586452702702494,-0.3860469276309276,-0.3780083223548215,-0.379973259004258,0.004383001448156544,15,-0.15078047297297495,-0.13091414191664413,-0.12882579030329025,-0.13684013506430312,0.009894108309871901
